year,state,party,candidatevotes,totalvotes
1976,Minnesota,people's,635,1949931
1976,Minnesota,international development bank,543,1949931
1976,Minnesota,industrial government party,370,1949931
1976,Minnesota,socialist,354,1949931
1976,Minnesota,,342,1949931
1976,Mississippi,democrat,381329,768390
1976,Mississippi,republican,366846,768390
1976,Mississippi,american,6678,768390
1976,Mississippi,independent,4074,768390
1976,Mississippi,american independent party,4049,768390
1976,Mississippi,socialist workers,2805,768390
1976,Mississippi,libertarian,2609,768390
1976,Missouri,democrat,998387,1953600
1976,Missouri,republican,927443,1953600
1976,Missouri,independent,24029,1953600
1976,Missouri,,3741,1953600
1976,Montana,republican,173703,328734
1976,Montana,democrat,149259,328734
1976,Montana,american,5772,328734
1976,Nebraska,republican,359219,606749
1976,Nebraska,democrat,233293,606749
1976,Nebraska,independent,9383,606749
1976,Nebraska,american independent party,3378,606749
1976,Nebraska,libertarian,1476,606749
1976,Nevada,republican,101273,201876
1976,Nevada,democrat,92479,201876
1976,Nevada,,5108,201876
1976,Nevada,libertarian,1519,201876
1976,Nevada,american independent party,1497,201876
1976,New Hampshire,republican,185935,339627
1976,New Hampshire,democrat,147645,339627
1976,New Hampshire,independent,4095,339627
1976,New Hampshire,libertarian,936,339627
1976,New Hampshire,,603,339627
1976,New Hampshire,u.s. labor,186,339627
1976,New Hampshire,socialist workers,161,339627
1976,New Hampshire,socialist labor,66,339627
1976,New Jersey,republican,1509688,3014472
1976,New Jersey,democrat,1444653,3014472
1976,New Jersey,independent,32717,3014472
1976,New Jersey,libertarian,9449,3014472
1976,New Jersey,american independent party,7716,3014472
1976,New Jersey,socialist labor,3686,3014472
1976,New Jersey,communist party use,1662,3014472
1976,New Jersey,u.s. labor,1650,3014472
1976,New Jersey,socialist workers,1184,3014472
1976,New Jersey,peace & freedom,1044,3014472
1976,New Jersey,prohibition,554,3014472
1976,New Jersey,socialist,469,3014472
1976,New Mexico,republican,211419,416590
1976,New Mexico,democrat,201148,416590
1976,New Mexico,socialist workers,2462,416590
1976,New Mexico,libertarian,1110,416590
1976,New Mexico,socialist,240,416590
1976,New Mexico,prohibition,211,416590
1976,New York,democrat,3244165,6668262
1976,New York,republican,2825913,6668262
1976,New York,conservative,274878,6668262
1976,New York,liberal party,145393,6668262
1976,New York,,143037,6668262
1976,New York,free libertarian,12197,6668262
1976,New York,communist party use,10270,6668262
1976,New York,socialist workers,6996,6668262
1976,New York,labor,5413,6668262
1976,North Carolina,democrat,927365,1677906
1976,North Carolina,republican,741960,1677906
1976,North Carolina,american,5607,1677906
1976,North Carolina,libertarian,2219,1677906
1976,North Carolina,u.s. labor,755,1677906
1976,North Dakota,republican,153684,297308
1976,North Dakota,democrat,136078,297308
1976,North Dakota,american,3698,297308
1976,North Dakota,independent,2952,297308
1976,North Dakota,american independent party,269,297308
1976,North Dakota,libertarian,256,297308
1976,North Dakota,u.s. labor,142,297308
1976,North Dakota,communist party use,85,297308
1976,North Dakota,prohibition,63,297308
1976,North Dakota,socialist workers,43,297308
1976,North Dakota,socialist,38,297308
1976,Ohio,democrat,2009959,4110456
1976,Ohio,republican,2000626,4110456
1976,Ohio,independent,58267,4110456
1976,Ohio,american independent party,15508,4110456
1976,Ohio,libertarian,8952,4110456
1976,Ohio,communist party use,7817,4110456
1976,Ohio,socialist workers,4833,4110456
1976,Ohio,u.s. labor,4364,4110456
1976,Ohio,socialist labor,68,4110456
1976,Ohio,prohibition,62,4110456
1976,Oklahoma,republican,545708,1092251
1976,Oklahoma,democrat,532442,1092251
1976,Oklahoma,independent,14101,1092251
1976,Oregon,republican,492120,1029876
1976,Oregon,democrat,490407,1029876
1976,Oregon,independent,40207,1029876
1976,Oregon,,6107,1029876
1976,Oregon,american,1035,1029876
1976,Pennsylvania,democrat,2328677,4620787
1976,Pennsylvania,republican,2205604,4620787
1976,Pennsylvania,mccarthy '76,50584,4620787
1976,Pennsylvania,constitution party,25344,4620787
1976,Pennsylvania,socialist workers,3009,4620787
1976,Pennsylvania,,2934,4620787
1976,Pennsylvania,u.s. labor,2744,4620787
1976,Pennsylvania,communist party use,1891,4620787
1976,Rhode Island,democrat,227636,410584
1976,Rhode Island,republican,181249,410584
1976,Rhode Island,libertarian,715,410584
1976,Rhode Island,socialist workers,462,410584
1976,Rhode Island,communist party use,334,410584
1976,Rhode Island,socialist labor,188,410584
1976,South Carolina,democrat,450807,802583
1976,South Carolina,republican,346149,802583
1976,South Carolina,american,2996,802583
1976,South Carolina,american independent party,1950,802583
1976,South Carolina,,681,802583
1976,South Dakota,republican,151505,300678
1976,South Dakota,democrat,147068,300678
1976,South Dakota,libertarian,1619,300678
1976,South Dakota,communist party use,318,300678
1976,South Dakota,socialist workers,168,300678
1976,Tennessee,democrat,825879,1476346
1976,Tennessee,republican,633969,1476346
1976,Tennessee,independent,5769,1476346
1976,Tennessee,independent,5004,1476346
1976,Tennessee,independent,2303,1476346
1976,Tennessee,independent,1375,1476346
1976,Tennessee,independent,547,1476346
1976,Tennessee,independent,512,1476346
1976,Tennessee,independent,442,1476346
1976,Tennessee,independent,316,1476346
1976,Tennessee,,230,1476346
1976,Texas,democrat,2082319,4071884
1976,Texas,republican,1953300,4071884
1976,Texas,independent,20118,4071884
1976,Texas,american,11442,4071884
1976,Texas,,2982,4071884
1976,Texas,socialist workers,1723,4071884
1976,Utah,republican,337908,541218
1976,Utah,democrat,182110,541218
1976,Utah,american,13304,541218
1976,Utah,independent,3907,541218
1976,Utah,liberal party,2438,541218
1976,Utah,concerned citizens,1162,541218
1976,Utah,independent,268,541218
1976,Utah,independent,121,541218
1976,Vermont,republican,100387,183902
1976,Vermont,democrat,77798,183902
1976,Vermont,independent,4001,183902
1976,Vermont,,1090,183902
1976,Vermont,socialist workers,430,183902
1976,Vermont,u.s. labor,196,183902
1976,Virginia,republican,836554,1697094
1976,Virginia,democrat,813896,1697094
1976,Virginia,socialist workers,17802,1697094
1976,Virginia,american,16686,1697094
1976,Virginia,u.s. labor,7508,1697094
1976,Virginia,libertarian,4648,1697094
1976,Washington,republican,777732,1555534
1976,Washington,democrat,717323,1555534
1976,Washington,independent,36986,1555534
1976,Washington,american independent party,8585,1555534
1976,Washington,,5482,1555534
1976,Washington,libertarian,5042,1555534
1976,Washington,constitution party,1046,1555534
1976,Washington,socialist workers,905,1555534
1976,Washington,u.s. labor,903,1555534
1976,Washington,communist party use,817,1555534
1976,Washington,socialist labor,713,1555534
1976,West Virginia,democrat,435864,750590
1976,West Virginia,republican,314726,750590
1976,Wisconsin,democrat,1040232,2101336
1976,Wisconsin,republican,1004987,2101336
1976,Wisconsin,independent,34943,2101336
1976,Wisconsin,american independent party,8552,2101336
1976,Wisconsin,socialist,4298,2101336
1976,Wisconsin,libertarian,3814,2101336
1976,Wisconsin,,2430,2101336
1976,Wisconsin,socialist workers,1691,2101336
1976,Wisconsin,socialist labor,389,2101336
1976,Wyoming,republican,92717,156343
1976,Wyoming,democrat,62239,156343
1976,Wyoming,,1387,156343
1980,Alabama,republican,654192,1341929
1980,Alabama,democrat,636730,1341929
1980,Alabama,independent,16481,1341929
1980,Alabama,conservative,15010,1341929
1980,Alabama,libertarian,13318,1341929
1980,Alabama,statesman,1743,1341929
1980,Alabama,communist party use,1629,1341929
1980,Alabama,socialist workers,1303,1341929
1980,Alabama,socialist,1006,1341929
1980,Alabama,citizens,517,1341929
1980,Alaska,republican,86112,158445
1980,Alaska,democrat,41842,158445
1980,Alaska,libertarian,18479,158445
1980,Alaska,independent,11155,158445
1980,Alaska,,857,158445
1980,Arizona,republican,529688,873945
1980,Arizona,democrat,246843,873945
1980,Arizona,independent,76952,873945
1980,Arizona,libertarian,18784,873945
1980,Arizona,socialist workers,1100,873945
1980,Arizona,citizens,551,873945
1980,Arizona,communist party use,25,873945
1980,Arizona,workers world,2,873945
1980,Arkansas,republican,403164,837582
1980,Arkansas,democrat,398041,837582
1980,Arkansas,independent,22468,837582
1980,Arkansas,libertarian,8970,837582
1980,Arkansas,citizens,2345,837582
1980,Arkansas,statesman,1350,837582
1980,Arkansas,communist party use,1244,837582
1980,California,republican,4522994,8582938
1980,California,democrat,3082943,8582938
1980,California,independent,739618,8582938
1980,California,libertarian,148390,8582938
1980,California,citizens,61046,8582938
1980,California,peace & freedom,18106,8582938
1980,California,american independent party,9841,8582938
1980,Colorado,republican,652264,1184450
1980,Colorado,democrat,368009,1184450
1980,Colorado,national unity campaign,130633,1184450
1980,Colorado,libertarian,25744,1184450
1980,Colorado,citizens,5614,1184450
1980,Colorado,statesman,1180,1184450
1980,Colorado,socialist workers,519,1184450
1980,Colorado,communist party use,487,1184450
1980,Connecticut,republican,677210,1406285
1980,Connecticut,democrat,541732,1406285
1980,Connecticut,anderson coalition,171807,1406285
1980,Connecticut,libertarian,8570,1406285
1980,Connecticut,citizens,6130,1406285
1980,Connecticut,,836,1406285
1980,Delaware,republican,111252,235668
1980,Delaware,democrat,105754,235668
1980,Delaware,independent,16288,235668
1980,Delaware,libertarian,1974,235668
1980,Delaware,american,400,235668
1980,District of Columbia,democrat,130231,173889
1980,District of Columbia,republican,23313,173889
1980,District of Columbia,independent,16131,173889
1980,District of Columbia,citizens,1826,173889
1980,District of Columbia,libertarian,1104,173889
1980,District of Columbia,,690,173889
1980,District of Columbia,communist party use,369,173889
1980,District of Columbia,socialist workers,173,173889
1980,District of Columbia,workers world,52,173889
1980,Florida,republican,2046951,3686927
1980,Florida,democrat,1419475,3686927
1980,Florida,independent,189692,3686927
1980,Florida,libertarian,30524,3686927
1980,Florida,,285,3686927
1980,Georgia,democrat,890955,1596805
1980,Georgia,republican,654168,1596805
1980,Georgia,independent,36055,1596805
1980,Georgia,libertarian,15627,1596805
1980,Hawaii,democrat,135879,303287
1980,Hawaii,republican,130112,303287
1980,Hawaii,independent,32021,303287
1980,Hawaii,libertarian,3269,303287
1980,Hawaii,citizens,1548,303287
1980,Hawaii,communist party use,458,303287
1980,Idaho,republican,290699,437431
1980,Idaho,democrat,110192,437431
1980,Idaho,independent,27058,437431
1980,Idaho,libertarian,8425,437431
1980,Idaho,american independent party,1057,437431
1980,Illinois,republican,2358049,4749721
1980,Illinois,democrat,1981413,4749721
1980,Illinois,independent,346754,4749721
1980,Illinois,libertarian,38939,4749721
1980,Illinois,citizens,10692,4749721
1980,Illinois,communist party use,9711,4749721
1980,Illinois,workers world,2257,4749721
1980,Illinois,socialist workers,1302,4749721
1980,Illinois,,604,4749721
1980,Indiana,republican,1255656,2242033
1980,Indiana,democrat,844197,2242033
1980,Indiana,independent,111639,2242033
1980,Indiana,libertarian,19627,2242033
1980,Indiana,citizens,4852,2242033
1980,Indiana,american,4750,2242033
1980,Indiana,communist party use,702,2242033
1980,Indiana,socialist workers,610,2242033
1980,Iowa,republican,676026,1317661
1980,Iowa,democrat,508672,1317661
1980,Iowa,nominated by petition,115633,1317661
1980,Iowa,libertarian,13123,1317661
1980,Iowa,citizens,2273,1317661
1980,Iowa,socialist,534,1317661
1980,Iowa,,519,1317661
1980,Iowa,communist party use,298,1317661
1980,Iowa,socialist workers,244,1317661
1980,Iowa,american,189,1317661
1980,Iowa,statesman,150,1317661
1980,Kansas,republican,566812,979795
1980,Kansas,democrat,326150,979795
1980,Kansas,independent,68231,979795
1980,Kansas,libertarian,14470,979795
1980,Kansas,american,1555,979795
1980,Kansas,communist party use,967,979795
1980,Kansas,statesman,821,979795
1980,Kansas,american independent party,789,979795
1980,Kentucky,republican,635274,1295627
1980,Kentucky,democrat,617417,1295627
1980,Kentucky,independent,31127,1295627
1980,Kentucky,libertarian,5531,1295627
1980,Kentucky,respect for life,4233,1295627
1980,Kentucky,citizens,1304,1295627
1980,Kentucky,socialist workers,393,1295627
1980,Kentucky,communist party use,348,1295627
1980,Louisiana,republican,792853,1548591
1980,Louisiana,democrat,708453,1548591
1980,Louisiana,independent,26345,1548591
1980,Louisiana,american independent party,10333,1548591
1980,Louisiana,libertarian,8240,1548591
1980,Louisiana,citizens,1584,1548591
1980,Louisiana,socialist workers,783,1548591
1980,Maine,republican,238522,523011
1980,Maine,democrat,220974,523011
1980,Maine,independent,53327,523011
1980,Maine,libertarian,5119,523011
1980,Maine,citizens,4394,523011
1980,Maine,communist party use,591,523011
1980,Maine,,84,523011
1980,Maryland,democrat,726161,1540496
1980,Maryland,republican,680606,1540496
1980,Maryland,independent,119537,1540496
1980,Maryland,libertarian,14192,1540496
1980,Massachusetts,republican,1057631,2524090
1980,Massachusetts,democrat,1053802,2524090
1980,Massachusetts,independent,382539,2524090
1980,Massachusetts,libertarian,22038,2524090
1980,Massachusetts,socialist workers,3735,2524090
1980,Massachusetts,,2289,2524090
1980,Massachusetts,citizens,2056,2524090
1980,Michigan,republican,1915225,3909725
1980,Michigan,democrat,1661532,3909725
1980,Michigan,independent,275223,3909725
1980,Michigan,libertarian,41597,3909725
1980,Michigan,citizens,11930,3909725
1980,Michigan,communist party use,3262,3909725
1980,Michigan,,956,3909725
1980,Minnesota,democrat,954173,2051916
1980,Minnesota,republican,873268,2051916
1980,Minnesota,independent,174997,2051916
1980,Minnesota,libertarian,31593,2051916
1980,Minnesota,citizens,8406,2051916
1980,Minnesota,american,6136,2051916
1980,Minnesota,communist party use,1117,2051916
1980,Minnesota,socialist workers,711,2051916
1980,Minnesota,workers world,698,2051916
1980,Minnesota,socialist,536,2051916
1980,Minnesota,,281,2051916
1980,Mississippi,republican,441089,891750
1980,Mississippi,democrat,429281,891750
1980,Mississippi,independent,12036,891750
1980,Mississippi,libertarian,4702,891750
1980,Mississippi,workers world,2402,891750
1980,Mississippi,socialist workers,2240,891750
1980,Missouri,republican,1074181,2099824
1980,Missouri,democrat,931182,2099824
1980,Missouri,independent,77920,2099824
1980,Missouri,libertarian,14422,2099824
1980,Missouri,socialist workers,1515,2099824
1980,Missouri,,604,2099824
1980,Montana,republican,206814,363952
1980,Montana,democrat,118032,363952
1980,Montana,independent,29281,363952
1980,Montana,libertarian,9825,363952
1980,Nebraska,republican,419214,639533
1980,Nebraska,democrat,166424,639533
1980,Nebraska,independent,44854,639533
1980,Nebraska,libertarian,9041,639533
1980,Nevada,republican,155017,243692
1980,Nevada,democrat,66666,243692
1980,Nevada,independent,17651,243692
1980,Nevada,libertarian,4358,243692
1980,New Hampshire,republican,221705,383990
1980,New Hampshire,democrat,108864,383990
1980,New Hampshire,independent,49693,383990
1980,New Hampshire,libertarian,2064,383990
1980,New Hampshire,citizens,1320,383990
1980,New Hampshire,communist party use,129,383990
1980,New Hampshire,workers world,76,383990
1980,New Hampshire,socialist workers,71,383990
1980,New Hampshire,,68,383990
1980,New Jersey,republican,1546557,2975684
1980,New Jersey,democrat,1147364,2975684
1980,New Jersey,independent,234632,2975684
1980,New Jersey,libertarian,20652,2975684
1980,New Jersey,citizens,8203,2975684
1980,New Jersey,right-to-life,3927,2975684
1980,New Jersey,middle class candidate,3694,2975684
1980,New Jersey,communist party use,2555,2975684
1980,New Jersey,socialist workers,2198,2975684
1980,New Jersey,socialist,1973,2975684
1980,New Jersey,down with lawyers,1718,2975684
1980,New Jersey,workers world,1288,2975684
1980,New Jersey,independent,923,2975684
1980,New Mexico,republican,250779,456237
1980,New Mexico,democrat,167826,456237
1980,New Mexico,independent,29459,456237
1980,New Mexico,libertarian,4365,456237
1980,New Mexico,citizens,2202,456237
1980,New Mexico,statesman,1281,456237
1980,New Mexico,socialist workers,325,456237
1980,New York,democrat,2728372,6201959
1980,New York,republican,2637700,6201959
1980,New York,liberal party,467801,6201959
1980,New York,conservative,256131,6201959
1980,New York,free libertarian,52648,6201959
1980,New York,right-to-life,24159,6201959
1980,New York,citizens,23186,6201959
1980,New York,communist party use,7414,6201959
1980,New York,socialist workers,2068,6201959
1980,New York,workers world,1416,6201959
1980,New York,,1064,6201959
1980,North Carolina,republican,915018,1855833
1980,North Carolina,democrat,875635,1855833
1980,North Carolina,independent,52800,1855833
1980,North Carolina,libertarian,9677,1855833
1980,North Carolina,citizens,2287,1855833
1980,North Carolina,socialist workers,416,1855833
1980,North Dakota,republican,193695,301116
1980,North Dakota,democrat,79189,301116
1980,North Dakota,independent,23640,301116
1980,North Dakota,libertarian,3743,301116
1980,North Dakota,natural people's league,296,301116
1980,North Dakota,american,235,301116
1980,North Dakota,communist party use,93,301116
1980,North Dakota,socialist workers,89,301116
1980,North Dakota,socialist,82,301116
1980,North Dakota,statesman,54,301116
1980,Ohio,republican,2206545,4283603
1980,Ohio,democrat,1752414,4283603
1980,Ohio,independent,254472,4283603
1980,Ohio,libertarian,49033,4283603
1980,Ohio,citizens,8564,4283603
1980,Ohio,communist party use,4729,4283603
1980,Ohio,socialist workers,4029,4283603
1980,Ohio,workers world,3790,4283603
1980,Ohio,statesman,27,4283603
1980,Oklahoma,republican,695570,1149708
1980,Oklahoma,democrat,402026,1149708
1980,Oklahoma,independent,38284,1149708
1980,Oklahoma,libertarian,13828,1149708
1980,Oregon,republican,571044,1181516
1980,Oregon,democrat,456890,1181516
1980,Oregon,independent,112389,1181516
1980,Oregon,libertarian,25838,1181516
1980,Oregon,citizens,13642,1181516
1980,Oregon,,1713,1181516
1980,Pennsylvania,republican,2261872,4561501
1980,Pennsylvania,democrat,1937540,4561501
1980,Pennsylvania,independent,292921,4561501
1980,Pennsylvania,libertarian,33263,4561501
1980,Pennsylvania,socialist workers,20291,4561501
1980,Pennsylvania,citizens,10430,4561501
1980,Pennsylvania,communist party use,5184,4561501
1980,Rhode Island,democrat,198342,415967
1980,Rhode Island,republican,154793,415967
1980,Rhode Island,independent,59819,415967
1980,Rhode Island,libertarian,2458,415967
1980,Rhode Island,communist party use,218,415967
1980,Rhode Island,socialist,170,415967
1980,Rhode Island,socialist workers,90,415967
1980,Rhode Island,workers world,77,415967
1980,South Carolina,republican,439277,888258
1980,South Carolina,democrat,428220,888258
1980,South Carolina,independent,13868,888258
1980,South Carolina,libertarian,4807,888258
1980,South Carolina,american independent party,2086,888258
1980,South Dakota,republican,198343,327703
1980,South Dakota,democrat,103855,327703
1980,South Dakota,independent,21431,327703
1980,South Dakota,libertarian,3824,327703
1980,South Dakota,socialist workers,250,327703
1980,Tennessee,republican,787761,1617616
1980,Tennessee,democrat,783051,1617616
1980,Tennessee,independent,35991,1617616
1980,Tennessee,libertarian,7116,1617616
1980,Tennessee,citizens,1112,1617616
1980,Tennessee,statesman,521,1617616
1980,Tennessee,socialist,519,1617616
1980,Tennessee,communist party use,503,1617616
1980,Tennessee,socialist workers,490,1617616
1980,Tennessee,workers world,400,1617616
1980,Tennessee,,152,1617616
1980,Texas,republican,2510705,4541636
1980,Texas,democrat,1881147,4541636
1980,Texas,independent,111613,4541636
1980,Texas,libertarian,37643,4541636
1980,Texas,,528,4541636
1980,Utah,republican,439687,604152
1980,Utah,democrat,124266,604152
1980,Utah,independent,30284,604152
1980,Utah,libertarian,7156,604152
1980,Utah,citizens,1009,604152
1980,Utah,american,965,604152
1980,Utah,american independent party,522,604152
1980,Utah,communist party use,139,604152
1980,Utah,socialist workers,124,604152
1980,Vermont,republican,94628,213299
1980,Vermont,democrat,81952,213299
1980,Vermont,independent,31761,213299
1980,Vermont,citizens,2316,213299
1980,Vermont,libertarian,1900,213299
1980,Vermont,,413,213299
1980,Vermont,socialist,136,213299
1980,Vermont,communist party use,118,213299
1980,Vermont,socialist workers,75,213299
1980,Virginia,republican,989609,1866032
1980,Virginia,democrat,752174,1866032
1980,Virginia,independent,95418,1866032
1980,Virginia,citizens,14024,1866032
1980,Virginia,libertarian,12821,1866032
1980,Virginia,socialist workers,1986,1866032
1980,Washington,republican,865244,1742394
1980,Washington,democrat,650193,1742394
1980,Washington,independent,185073,1742394
1980,Washington,libertarian,29213,1742394
1980,Washington,citizens,9403,1742394
1980,Washington,socialist workers,1137,1742394
1980,Washington,socialist,956,1742394
1980,Washington,communist party use,834,1742394
1980,Washington,workers world,341,1742394
1980,West Virginia,democrat,367462,737715
1980,West Virginia,republican,334206,737715
1980,West Virginia,independent,31691,737715
1980,West Virginia,libertarian,4356,737715
1980,Wisconsin,republican,1088845,2273221
1980,Wisconsin,democrat,981584,2273221
1980,Wisconsin,independent,160657,2273221
1980,Wisconsin,libertarian,29135,2273221
1980,Wisconsin,citizens,7767,2273221
1980,Wisconsin,american independent party,1519,2273221
1980,Wisconsin,,1337,2273221
1980,Wisconsin,socialist,808,2273221
1980,Wisconsin,communist party use,772,2273221
1980,Wisconsin,workers world,414,2273221
1980,Wisconsin,socialist workers,383,2273221
1980,Wyoming,republican,110700,176713
1980,Wyoming,democrat,49427,176713
1980,Wyoming,independent,12072,176713
1980,Wyoming,libertarian,4514,176713
1984,Alabama,republican,872849,1441713
1984,Alabama,democrat,551899,1441713
1984,Alabama,libertarian,9504,1441713
1984,Alabama,communist party use,4671,1441713
1984,Alabama,populist,1401,1441713
1984,Alabama,socialist workers,730,1441713
1984,Alabama,alliance,659,1441713
1984,Alaska,republican,138377,207605
1984,Alaska,democrat,62007,207605
1984,Alaska,libertarian,6378,207605
1984,Alaska,,843,207605
1984,Arizona,republican,681416,1025897
1984,Arizona,democrat,333854,1025897
1984,Arizona,libertarian,10585,1025897
1984,Arizona,,42,1025897
1984,Arkansas,republican,534774,884406
1984,Arkansas,democrat,338646,884406
1984,Arkansas,libertarian,2221,884406
1984,Arkansas,independent,1890,884406
1984,Arkansas,communist party use,1499,884406
1984,Arkansas,populist,1461,884406
1984,Arkansas,alliance,1291,884406
1984,Arkansas,citizens,960,884406
1984,Arkansas,prohibition,842,884406
1984,Arkansas,united sovereign citizens,822,884406
1984,California,republican,5467009,9505041
1984,California,democrat,3922519,9505041
1984,California,libertarian,49951,9505041
1984,California,populist,39265,9505041
1984,California,citizens,26297,9505041
1984,Colorado,republican,821817,1295380
1984,Colorado,democrat,454975,1295380
1984,Colorado,libertarian,11257,1295380
1984,Colorado,independent,4662,1295380
1984,Colorado,alliance,978,1295380
1984,Colorado,prohibition,858,1295380
1984,Colorado,socialist workers,810,1295380
1984,Colorado,,23,1295380
1984,Connecticut,republican,890877,1466900
1984,Connecticut,democrat,569597,1466900
1984,Connecticut,communist party use,4826,1466900
1984,Connecticut,alliance,1374,1466900
